source,source_lot_id,lot_url,sale_date_utc,sale_local_time,location_city,location_state,vin,year,make,model,title_status,condition_notes
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2018_Toyota_Tacoma_Dou_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,,Future Sale,Newark,NJ,,2018,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ct_2017_Toyota_Tacoma_Dou_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ct,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Hartford,CT,,2017,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ma_2017_Toyota_Tacoma_Acc_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ma,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Boston,MA,,2017,TOYOTA,Tacoma Acc,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ma_2017_Toyota_Tacoma_Access_Cab_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ma,,Future Sale,Boston,MA,,2017,TOYOTA,Tacoma Access Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_nj_2016_Toyota_Tacoma_Dou_Newark,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-nj,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Newark,NJ,,2016,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ct_2016_Toyota_Tacoma_Access_Cab_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ct,2025-09-25T18:00:00+00:00,"September 25, 2025 2:00 PM",Hartford,CT,,2016,TOYOTA,Tacoma Access Cab,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ma_2016_Toyota_Tacoma_Dou_Boston,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ma,2025-09-26T18:00:00+00:00,"September 26, 2025 2:00 PM",Boston,MA,,2016,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ri_2016_Toyota_Tacoma_Dou_Providence,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ri,,Future Sale,Providence,RI,,2016,TOYOTA,Tacoma Dou,unknown,
abetter_bid_northeast,abetter_bid_toyota_tacoma_ct_2015_Toyota_Tacoma_Acc_Hartford,https://abetter.bid/en/car-finder/type-automobiles/make-toyota/model-tacoma/state-ct,2025-09-24T18:00:00+00:00,"September 24, 2025 2:00 PM",Hartford,CT,,2015,TOYOTA,Tacoma Acc,unknown,
ct_statewide_auction,ct_statewide_5_U13,https://www.statewideauction.com/,,"Tuesday, September 23 at 03:50 PM EST",Meriden,CT,3TMMU4FN0FM073083,2015,Toyota,Tacoma,unknown,
ct_statewide_auction,ct_statewide_5_U18,https://www.statewideauction.com/,,"Tuesday, September 23 at 03:50 PM EST",Meriden,CT,5TFUX4ENXFX039686,2015,Toyota,Tacoma,unknown,
